=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:45 Model found (2.37s, +0.00s): [-72, -5402]
22:50:45 Model found (2.37s, +0.00s): [-72, -5412]
22:50:45 Model found (2.37s, +0.00s): [-72, -5422]
22:50:45 Model found (2.38s, +0.00s): [-72, -5432]
22:50:45 Model found (2.38s, +0.00s): [-72, -5442]
22:50:45 Model found (2.38s, +0.00s): [-72, -5452]
22:50:45 Model found (2.38s, +0.00s): [-72, -5462]
22:50:45 Model found (2.38s, +0.00s): [-72, -5472]
22:50:45 Model found (2.39s, +0.00s): [-72, -5482]
22:50:45 Model found (2.39s, +0.00s): [-72, -5492]
22:50:45 Model found (2.39s, +0.00s): [-72, -5502]
22:50:45 Model found (2.39s, +0.00s): [-72, -5512]
22:50:45 Model found (2.39s, +0.00s): [-72, -5522]
22:50:45 Model found (2.39s, +0.00s): [-72, -5532]
22:50:45 Model found (2.40s, +0.00s): [-72, -5542]
22:50:45 Model found (2.40s, +0.00s): [-72, -5552]
22:50:45 Model found (2.40s, +0.00s): [-72, -5562]
22:50:45 Model found (2.40s, +0.00s): [-72, -5572]
22:50:45 Model found (2.40s, +0.00s): [-72, -5582]
22:50:45 Model found (2.41s, +0.00s): [-72, -5592]
22:50:45 Model found (2.41s, +0.00s): [-72, -5602]
22:50:45 Model found (2.41s, +0.00s): [-72, -5612]
22:50:45 Model found (2.41s, +0.00s): [-72, -5622]
22:50:45 Model found (2.41s, +0.00s): [-72, -5632]
22:50:45 Model found (2.42s, +0.00s): [-72, -5642]
22:50:45 Model found (2.42s, +0.00s): [-72, -5652]
22:50:45 Model found (2.42s, +0.00s): [-72, -5662]
22:50:45 Model found (2.42s, +0.00s): [-72, -5672]
22:50:45 Model found (2.42s, +0.00s): [-72, -5682]
22:50:45 Model found (2.43s, +0.00s): [-72, -5692]
22:50:45 Model found (2.43s, +0.00s): [-72, -5702]
22:50:45 Model found (2.43s, +0.00s): [-72, -5712]
22:50:45 Model found (2.43s, +0.00s): [-72, -5722]
22:50:45 Model found (2.43s, +0.00s): [-72, -5732]
22:50:45 Model found (2.43s, +0.00s): [-72, -5742]
22:50:45 Model found (2.44s, +0.00s): [-72, -5752]
22:50:45 Model found (2.44s, +0.00s): [-72, -5762]
22:50:45 Model found (2.44s, +0.00s): [-72, -5772]
22:50:45 Model found (2.44s, +0.00s): [-72, -5782]
22:50:45 Model found (2.44s, +0.00s): [-72, -5792]
22:50:45 Model found (2.45s, +0.00s): [-72, -5802]
22:50:45 Model found (2.45s, +0.00s): [-72, -5812]
22:50:45 Model found (2.45s, +0.00s): [-72, -5822]
22:50:45 Model found (2.45s, +0.00s): [-72, -5832]
22:50:45 Model found (2.45s, +0.00s): [-72, -5842]
22:50:45 Model found (2.46s, +0.00s): [-72, -5852]
22:50:45 Model found (2.46s, +0.00s): [-72, -5862]
22:50:45 Model found (2.46s, +0.00s): [-72, -5872]
22:50:45 Model found (2.46s, +0.00s): [-72, -5882]
22:50:45 Model found (2.46s, +0.00s): [-72, -5892]
22:50:45 Model found (2.47s, +0.00s): [-72, -5902]
22:50:45 Model found (2.47s, +0.00s): [-72, -5912]
22:50:45 Model found (2.47s, +0.00s): [-72, -5922]
22:50:45 Model found (2.47s, +0.00s): [-72, -5932]
22:50:45 Model found (2.47s, +0.00s): [-72, -5942]
22:50:45 Model found (2.47s, +0.00s): [-72, -5952]
22:50:45 Model found (2.48s, +0.00s): [-72, -5962]
22:50:45 Model found (2.48s, +0.00s): [-72, -5972]
22:50:45 Model found (2.48s, +0.00s): [-72, -5982]
22:50:45 Model found (2.48s, +0.00s): [-72, -5992]
22:50:45 Model found (2.48s, +0.00s): [-72, -6002]
22:50:45 Model found (2.49s, +0.00s): [-72, -6012]
22:50:45 Model found (2.49s, +0.00s): [-72, -6022]
22:50:45 Model found (2.49s, +0.00s): [-72, -6032]
22:50:45 Model found (2.49s, +0.00s): [-72, -6042]
22:50:45 Model found (2.49s, +0.00s): [-72, -6052]
22:50:45 Model found (2.50s, +0.00s): [-72, -6062]
22:50:45 Model found (2.50s, +0.00s): [-72, -6072]
22:50:45 Model found (2.50s, +0.00s): [-72, -6082]
22:50:45 Model found (2.50s, +0.00s): [-72, -6092]
22:50:45 Model found (2.50s, +0.00s): [-72, -6102]
22:50:45 Model found (2.50s, +0.00s): [-72, -6112]
22:50:45 Model found (2.51s, +0.00s): [-72, -6122]
22:50:45 Model found (2.51s, +0.00s): [-72, -6132]
22:50:45 Model found (2.51s, +0.00s): [-72, -6142]
22:50:45 Model found (2.51s, +0.00s): [-72, -6152]
22:50:45 Model found (2.51s, +0.00s): [-72, -6162]
22:50:45 Model found (2.52s, +0.00s): [-72, -6172]
22:50:45 Model found (2.52s, +0.00s): [-72, -6182]
22:50:45 Model found (2.52s, +0.00s): [-72, -6192]
22:50:45 Model found (2.52s, +0.00s): [-72, -6202]
22:50:45 Model found (2.52s, +0.00s): [-72, -6212]
22:50:45 Model found (2.52s, +0.00s): [-72, -6222]
22:50:45 Model found (2.53s, +0.00s): [-72, -6232]
22:50:45 Model found (2.53s, +0.00s): [-72, -6242]
22:50:45 Model found (2.53s, +0.00s): [-72, -6252]
22:50:45 Model found (2.53s, +0.00s): [-72, -6262]
22:50:45 Model found (2.53s, +0.00s): [-72, -6272]
22:50:45 Model found (2.54s, +0.00s): [-72, -6282]
22:50:45 Model found (2.54s, +0.00s): [-72, -6292]
22:50:45 Model found (2.54s, +0.00s): [-72, -6302]
22:50:45 Model found (2.54s, +0.00s): [-72, -6312]
22:50:45 Model found (2.54s, +0.00s): [-72, -6322]
22:50:45 Model found (2.54s, +0.00s): [-72, -6332]
22:50:45 Model found (2.55s, +0.00s): [-72, -6342]
22:50:45 Model found (2.55s, +0.00s): [-72, -6352]
22:50:45 Model found (2.55s, +0.00s): [-72, -6362]
22:50:45 Model found (2.55s, +0.00s): [-72, -6372]
22:50:45 Model found (2.55s, +0.00s): [-72, -6382]
22:50:45 Model found (2.56s, +0.00s): [-72, -6392]
22:50:45 Model found (2.56s, +0.00s): [-72, -6402]
22:50:45 Model found (2.56s, +0.00s): [-72, -6412]
22:50:45 Model found (2.56s, +0.00s): [-72, -6422]
22:50:45 Model found (2.56s, +0.00s): [-72, -6432]
22:50:45 Model found (2.56s, +0.00s): [-72, -6442]
22:50:45 Model found (2.57s, +0.00s): [-72, -6452]
22:50:45 Model found (2.57s, +0.00s): [-72, -6462]
22:50:45 Model found (2.57s, +0.00s): [-72, -6472]
22:50:45 Model found (2.57s, +0.00s): [-72, -6482]
22:50:46 Model found (2.57s, +0.00s): [-72, -6492]
22:50:46 Model found (2.58s, +0.00s): [-72, -6502]
22:50:46 Model found (2.58s, +0.00s): [-72, -6512]
22:50:46 Model found (2.58s, +0.00s): [-72, -6522]
22:50:46 Model found (2.58s, +0.00s): [-72, -6532]
22:50:46 Model found (2.58s, +0.00s): [-72, -6542]
22:50:46 Model found (2.58s, +0.00s): [-72, -6552]
22:50:46 Model found (2.59s, +0.00s): [-72, -6562]
22:50:46 Model found (2.59s, +0.00s): [-72, -6572]
22:50:46 Model found (2.59s, +0.00s): [-72, -6582]
22:50:46 Model found (2.59s, +0.00s): [-72, -6592]
22:50:46 Model found (2.59s, +0.00s): [-72, -6602]
22:50:46 Model found (2.60s, +0.00s): [-72, -6612]
22:50:46 Model found (2.60s, +0.00s): [-72, -6622]
22:50:46 Model found (2.60s, +0.00s): [-72, -6632]
22:50:46 Model found (2.60s, +0.00s): [-72, -6642]
22:50:46 Model found (2.60s, +0.00s): [-72, -6652]
22:50:46 Model found (2.60s, +0.00s): [-72, -6662]
22:50:46 Model found (2.61s, +0.00s): [-72, -6672]
22:50:46 Model found (2.61s, +0.00s): [-72, -6682]
22:50:46 Model found (2.61s, +0.00s): [-72, -6692]
22:50:46 Model found (2.61s, +0.00s): [-72, -6702]
22:50:46 Model found (2.61s, +0.00s): [-72, -6712]
22:50:46 Model found (2.62s, +0.00s): [-72, -6722]
22:50:46 Model found (2.62s, +0.00s): [-72, -6732]
22:50:46 Model found (2.62s, +0.00s): [-72, -6742]
22:50:46 Model found (2.62s, +0.00s): [-72, -6752]
22:50:46 Model found (2.62s, +0.00s): [-72, -6762]
22:50:46 Model found (2.63s, +0.00s): [-72, -6772]
22:50:46 Model found (2.63s, +0.00s): [-72, -6782]
22:50:46 Model found (2.63s, +0.00s): [-72, -6792]
22:50:46 Model found (2.63s, +0.00s): [-72, -6802]
22:50:46 Model found (2.63s, +0.00s): [-72, -6812]
22:50:46 Model found (2.63s, +0.00s): [-72, -6822]
22:50:46 Model found (2.64s, +0.00s): [-72, -6832]
22:50:46 Model found (2.64s, +0.00s): [-72, -6842]
22:50:46 Model found (2.64s, +0.00s): [-72, -6852]
22:50:46 Model found (2.64s, +0.00s): [-72, -6862]
22:50:46 Model found (2.64s, +0.00s): [-72, -6872]
22:50:46 Model found (2.65s, +0.00s): [-72, -6882]
22:50:46 Model found (2.65s, +0.00s): [-72, -6892]
22:50:46 Model found (2.65s, +0.00s): [-72, -6902]
22:50:46 Model found (2.65s, +0.00s): [-72, -6912]
22:50:46 Model found (2.65s, +0.00s): [-72, -6922]
22:50:46 Model found (2.65s, +0.00s): [-72, -6932]
22:50:46 Model found (2.66s, +0.00s): [-72, -6942]
22:50:46 Model found (2.66s, +0.00s): [-72, -6952]
22:50:46 Model found (2.66s, +0.00s): [-72, -6962]
22:50:46 Model found (2.66s, +0.00s): [-72, -6972]
22:50:46 Model found (2.66s, +0.00s): [-72, -6982]
22:50:46 Model found (2.67s, +0.00s): [-72, -6992]
22:50:46 Model found (2.67s, +0.00s): [-72, -7002]
22:50:46 Model found (2.67s, +0.00s): [-72, -7012]
22:50:46 Model found (2.67s, +0.00s): [-72, -7022]
22:50:46 Model found (2.67s, +0.00s): [-72, -7032]
22:50:46 Model found (2.67s, +0.00s): [-72, -7042]
22:50:46 Model found (2.68s, +0.00s): [-72, -7052]
22:50:46 Model found (2.68s, +0.00s): [-72, -7062]
22:50:46 Model found (2.68s, +0.00s): [-72, -7072]
22:50:46 Model found (2.68s, +0.00s): [-72, -7082]
22:50:46 Model found (2.68s, +0.00s): [-72, -7092]
22:50:46 Model found (2.69s, +0.00s): [-72, -7102]
22:50:46 Model found (2.69s, +0.00s): [-72, -7112]
22:50:46 Model found (2.69s, +0.00s): [-72, -7122]
