Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:05:46 Model found (1.27s, +0.09s): [-136, -837]
17:05:47 Model found (1.33s, +0.07s): [-140, -257]
17:05:47 Model found (1.45s, +0.11s): [-144, -823]
17:05:47 Model found (1.50s, +0.05s): [-176, -288]
17:05:47 Model found (1.56s, +0.06s): [-204, -425]
17:05:47 Model found (1.68s, +0.12s): [-204, -426]
17:05:47 Model found (1.83s, +0.16s): [-308, -885]
17:05:47 Model found (1.94s, +0.10s): [-312, -451]
17:05:47 Model found (2.04s, +0.10s): [-312, -452]
17:05:47 Model found (2.17s, +0.13s): [-312, -886]
17:05:47 Model found (2.26s, +0.09s): [-316, -887]
17:05:48 Model found (2.38s, +0.12s): [-380, -1101]
17:05:50 Model found (4.52s, +2.14s): [-380, -1121]
17:05:51 Model found (5.64s, +1.12s): [-380, -1122]
17:05:51 Model found (5.83s, +0.19s): [-380, -1123]
17:05:51 Model found (6.09s, +0.26s): [-380, -1124]
17:05:52 Model found (7.25s, +1.16s): [-380, -1125]
17:05:55 Model found (9.83s, +2.57s): [-380, -1126]
17:05:58 Model found (12.32s, +2.49s): [-380, -1127]
17:06:18 Model found (33.20s, +20.88s): [-380, -1131]
17:06:22 Model found (36.90s, +3.71s): [-380, -1132]
17:06:22 Model found (37.01s, +0.10s): [-380, -1133]
17:06:22 Model found (37.19s, +0.18s): [-380, -1141]
17:06:23 Model found (37.83s, +0.64s): [-380, -1142]
17:06:23 Model found (37.89s, +0.06s): [-380, -1143]
17:06:23 Model found (37.95s, +0.06s): [-380, -1144]
17:06:23 Model found (38.02s, +0.07s): [-380, -1145]
17:06:23 Model found (38.14s, +0.12s): [-380, -1146]
17:06:23 Model found (38.22s, +0.08s): [-380, -1147]
17:06:23 Model found (38.29s, +0.07s): [-380, -1148]
17:06:24 Model found (38.35s, +0.06s): [-380, -1149]
17:06:24 Model found (38.42s, +0.07s): [-380, -1150]
17:06:24 Model found (38.50s, +0.08s): [-380, -1151]
17:06:24 Model found (38.62s, +0.12s): [-380, -1152]
17:06:24 Model found (38.70s, +0.08s): [-380, -1153]
17:06:24 Model found (38.77s, +0.07s): [-380, -1154]
17:06:24 Model found (38.84s, +0.07s): [-380, -1155]
17:06:24 Model found (38.91s, +0.07s): [-380, -1156]
17:06:24 Model found (39.03s, +0.11s): [-380, -1157]
17:06:24 Model found (39.14s, +0.12s): [-380, -1158]
17:06:24 Model found (39.23s, +0.08s): [-380, -1159]
17:06:25 Model found (39.30s, +0.08s): [-380, -1160]
17:06:25 Model found (39.39s, +0.08s): [-380, -1161]
17:06:25 Model found (39.47s, +0.08s): [-380, -1162]
17:06:25 Model found (39.56s, +0.09s): [-380, -1163]
17:06:25 Model found (39.62s, +0.07s): [-380, -1164]
17:06:25 Model found (39.69s, +0.06s): [-380, -1165]
17:06:25 Model found (39.75s, +0.06s): [-380, -1166]
17:06:25 Model found (39.81s, +0.06s): [-380, -1167]
17:06:25 Model found (39.87s, +0.06s): [-380, -1168]
17:06:25 Model found (39.96s, +0.08s): [-380, -1169]
17:06:25 Model found (40.02s, +0.06s): [-380, -1170]
17:06:25 Model found (40.10s, +0.08s): [-380, -1171]
17:06:25 Model found (40.18s, +0.08s): [-380, -1172]
17:06:25 Model found (40.25s, +0.06s): [-380, -1173]
17:06:26 Model found (40.33s, +0.09s): [-380, -1174]
17:06:26 Model found (40.47s, +0.13s): [-380, -1175]
17:06:26 Model found (40.54s, +0.07s): [-380, -1176]
17:06:26 Model found (40.61s, +0.07s): [-380, -1177]
17:06:26 Model found (40.68s, +0.07s): [-380, -1178]
17:06:26 Model found (40.76s, +0.08s): [-380, -1179]
17:06:26 Model found (40.83s, +0.06s): [-380, -1180]
17:06:26 Model found (40.90s, +0.07s): [-380, -1181]
17:06:26 Model found (41.00s, +0.10s): [-380, -1182]
17:06:26 Model found (41.07s, +0.07s): [-380, -1183]
17:06:26 Model found (41.14s, +0.07s): [-380, -1184]
17:06:26 Model found (41.21s, +0.07s): [-380, -1185]
17:06:26 Model found (41.29s, +0.08s): [-380, -1186]
17:06:27 Model found (41.47s, +0.18s): [-380, -1187]
17:06:27 Model found (41.55s, +0.08s): [-380, -1188]
17:06:27 Model found (41.62s, +0.07s): [-380, -1189]
17:06:27 Model found (41.71s, +0.09s): [-380, -1190]
17:06:27 Model found (41.81s, +0.11s): [-380, -1191]
17:06:27 Model found (41.89s, +0.08s): [-380, -1192]
17:06:27 Model found (41.97s, +0.08s): [-380, -1193]
17:06:27 Model found (42.06s, +0.09s): [-380, -1194]
17:06:27 Model found (42.15s, +0.10s): [-380, -1195]
17:06:27 Model found (42.23s, +0.08s): [-380, -1196]
17:06:28 Model found (42.31s, +0.08s): [-380, -1197]
17:06:28 Model found (42.38s, +0.07s): [-380, -1198]
17:06:28 Model found (42.46s, +0.08s): [-380, -1199]
17:06:28 Model found (42.52s, +0.07s): [-380, -1200]
17:06:28 Model found (42.59s, +0.07s): [-380, -1201]
17:06:28 Model found (42.68s, +0.09s): [-380, -1202]
17:06:28 Model found (42.79s, +0.10s): [-380, -1203]
17:06:28 Model found (42.89s, +0.11s): [-380, -1204]
17:06:28 Model found (42.97s, +0.08s): [-380, -1205]
17:06:28 Model found (43.04s, +0.08s): [-380, -1206]
17:06:28 Model found (43.15s, +0.10s): [-380, -1207]
17:06:28 Model found (43.23s, +0.08s): [-380, -1208]
17:06:29 Model found (43.31s, +0.08s): [-380, -1209]
17:06:29 Model found (43.38s, +0.07s): [-380, -1210]
